
200,アークデーモン,418,62,トラペッタ地方・アスカンタ国領,ばくだん岩のかけら・バトルフォーク

127,アークバッファロー,117,31,サザンビーク国領東・サヴェツラ地方,うしのふん・ふつうのチーズ

102,アーマービートル,96,22,ベルガラック地方（バウムレン場所）・名もなき小島,騎士団の盾・鉄かぶと

142,アイアンクック,96,43,サヴェツラ地方・リブルアーチ地方,鉄のクギ・鉄のむねあて

146,アイアンダッシュ,138,68,リブルアーチ地方・ライドンの塔,鉄のかま・鉄かぶと

158,アイスチャイム,68,12,雪山地方,こおりのチーズ・インテリめがね

169,アイスビックル,221,78,雪山地方・薬草園の洞くつ,どくがのナイフ・パワーベルト

33,あばれうしどり,30,14,マイエラ地方・旧修道院跡地,うしのふん・まじゅうの皮

129,あやしいかげ,78,14,サザンビーク国領東・サヴェッラ地方,レンネットのこな・こうもりの羽

267,アルゴリザード,650,102,王家の山,アルゴンハート

268,アルゴングレード,2830,520,王家の山,大アルゴンハート

27,アルミラージ,30,13,リーザス地方・アッスカンタ国領,やくそう・うさぎのしっぽ

42,アローインプ,43,17,アスカンタ国領・願いの丘,絹のローブ・ショートボウ

178,あんこくちょう,224,26,トラペッタ地方・砂漠地方,キメラのつばさ・こうもりの羽

279,暗黒の使い,682,89,暗黒魔城都市・天の祭壇,サタンヘルム・ミラーアーマー

285,暗黒の魔人,2480,0,暗黒魔城都市,オリハルコン

286,暗黒神ラプソーン,0,0,暗黒魔城都市,なし

287,暗黒神ラプソーン,0,0,翼を持つ者の場所,なし

72,イーブルアイズ,72,37,トロデーン西部（昼夜）・北部（昼）,金のブレスレット・金の指輪

10,いたずらもぐら,4,5,モグラの生活地域・滝の洞くつ,やくそう・こんぼう

7,いっかくウサギ,5,5,トラペッタ地方,皮のぼうし・うさぎのしっぽ

89,いばらドラゴン,101,25,トロデーン城,やくそう・いばらのムチ

64,ウィッチレディ,66,22,パルミド地方,まどうしの杖・ガーダーベルト

159,うごくせきぞう,306,90,ライドンの塔,石のぼうし・まもりのルビー

101,ウドラー,95,27,サザンビーク国領西・ベルガラック地方,上やくそう・せかいじゅの葉

295,永遠の巨竜,0,0,天の祭壇,スキルのたね

239,エビラ,31,18,リーザス地方・アスカンタ国領,ブーメラン・うろこの盾

154,エビルスピリッツ,138,9,闇の遺跡・ライドンの塔,まんげつ草・エルフの飲み薬

134,エビルドライブ,131,37,サザンビーク国領東・砂漠地方,どうのつるぎ・冷たいチーズ

188,エビルホーク,305,59,隔絶された台地・翼を持つ者の場所,キメラのつばさ・辛口チーズ

132,エリミネーター,106,32,サザンビーク国領東・サヴェッラ地方,怒りのタトゥー・鉄のオノ

292,黄金の巨竜,16350,0,天の祭壇,スキルのたね

246,おおうつぼ,92,11,海,どくけし草・ヘビ皮のムチ

22,おおきづち,21,9,滝の洞くつ・リーザス地方,こんぼう・大きづち

99,オーク,94,31,ベルガラック地方,やくそう・鉄のヤリ

153,オークキング,154,38,王家の山・ライドンの塔,まじゅうの皮・ロングスピア

37,おおさそり,42,8,マイエラ地方･アスカンタ国領,どくけし草・鉄のヤリ

258,オーシャンクロー,331,113,海賊の洞くつ,ダガーナイフ・うろこのよろい

26,おおめだま,32,12,マイエラ地方・アッスカンタ国領,せいすい・まほうのせいすい

222,オーラー,320,60,天の祭壇,やわらかチーズ・知力のかぶと

249,オクトセントリー,120,33,サザンビーク城南東砂浜（昼夜）,鉄かぶと・ロングスピア

262,オセアーノン,311,230,海,金のブレスレット

63,おどる宝石,32,38,剣士像の洞くつ・アスカンタ地下,金のブレスレット・いのりの指輪

19,おばけキノコ,13,12,リーザス地方・リーザス像の塔,どくけし草・ふつうのチーズ

122,ガーゴイル,114,36,サザンビーク国領東・サザンビーク国領西,上やくそう・はがねのつるぎ

35,がいこつ,41,15,アスカンタ国領・旧修道院跡地,兵士の剣・騎士団の服

251,海竜,114,51,海,竜のうろこ・インテリめがね

109,かくとうパンサー,103,32,ベルガラック地方・サザンビーク国領,まじゅうの皮・アサシンダガー

